n,graph6,pn(G),pn(Ln),pn(star)
16,O???C@_cSaB_B_B_KOB@?,11704,12744,3640
16,O???E?oBEA[?CgK_@o?W_,10552,12744,3640
16,O???E?oBEAWOKGK_@o?W_,3640,12744,3640
16,O??CAA_ED@BAF?H_GgAE?,11864,12744,3640
16,O??CA?oB@`U?o_Oo@g?W_,11504,12744,3640
16,O??CA?oB@`U?oOOo@o?W_,8248,12744,3640
